Scouter Name,Event,Match Level,Match #,Robot,Team #,Cycle Number,Cycle Time,Cycle Type
Jl,2025nytr,qm,36,b3,3173,9,17.1,tc4
Df,2025nytr,qm,36,b2,250,0,73,tc1
J,2025nytr,qm,36,r3,6621,0,1.1,tc4
J,2025nytr,qm,36,r3,6621,1,23.2,tc1
J,2025nytr,qm,36,r3,6621,2,4.5,tc1
J,2025nytr,qm,36,r3,6621,3,3.8,tc1
J,2025nytr,qm,36,r3,6621,4,7.5,tc4
J,2025nytr,qm,36,r3,6621,5,1.8,tc4
J,2025nytr,qm,36,r3,6621,6,3.1,tc4
J,2025nytr,qm,36,r3,6621,7,5,tc1
J,2025nytr,qm,36,r3,6621,8,0.8,tc2
J,2025nytr,qm,36,r3,6621,9,16.9,tc3
ay,2025nytr,qm,37,b1,2053,0,2.9,tc4
ay,2025nytr,qm,37,b1,2053,1,15.1,tc4
ay,2025nytr,qm,37,b1,2053,2,11.3,tc3
ay,2025nytr,qm,37,b1,2053,3,7.1,tc3
ay,2025nytr,qm,37,b1,2053,4,11.8,tap
ay,2025nytr,qm,37,b1,2053,5,30.8,tc3
ay,2025nytr,qm,37,b1,2053,6,12.6,tc2
ay,2025nytr,qm,37,b1,2053,7,9.7,tc2
ay,2025nytr,qm,37,b1,2053,8,20.7,tc2
Jl,2025nytr,qm,37,b3,9468,0,10.9,tc2
Jl,2025nytr,qm,37,b3,9468,1,7.6,tc4
Jl,2025nytr,qm,37,b3,9468,2,59.2,tc3
Jl,2025nytr,qm,37,b3,9468,3,14.4,tc3
Jl,2025nytr,qm,37,b3,9468,4,14.8,tc2
Jl,2025nytr,qm,37,b3,9468,5,16.9,tc1
CW,2025nytr,qm,37,r2,1493,0,15.8,tc4
CW,2025nytr,qm,37,r2,1493,1,28.6,tc4
CW,2025nytr,qm,37,r2,1493,2,6.2,tc4
CW,2025nytr,qm,37,r2,1493,3,7.9,tc3
CW,2025nytr,qm,37,r2,1493,4,7.6,tc3
CW,2025nytr,qm,37,r2,1493,5,14.3,tc4
CW,2025nytr,qm,37,r2,1493,6,12.3,tc3
CW,2025nytr,qm,37,r2,1493,7,7.1,tc3
CW,2025nytr,qm,37,r2,1493,8,10.9,tc2
CW,2025nytr,qm,37,r2,1493,9,10.6,tc2
Ak,2025nytr,qm,37,r1,6806,0,,{}
J,2025nytr,qm,37,r3,191,0,4.9,tc4
J,2025nytr,qm,37,r3,191,1,9.2,tc4
J,2025nytr,qm,37,r3,191,2,13.7,tc4
J,2025nytr,qm,37,r3,191,3,5.6,tc4
J,2025nytr,qm,37,r3,191,4,8.4,tc4
J,2025nytr,qm,37,r3,191,5,8.4,tc4
J,2025nytr,qm,37,r3,191,6,11.8,tc4
J,2025nytr,qm,37,r3,191,7,9,tc3
J,2025nytr,qm,37,r3,191,8,9.3,tc3
J,2025nytr,qm,37,r3,191,9,13.3,tc3
J,2025nytr,qm,37,r3,191,10,6.6,tc3
J,2025nytr,qm,37,r3,191,11,9.8,tc2
J,2025nytr,qm,37,r3,191,12,6.8,tc2
ay,2025nytr,qm,38,b1,1796,0,10.5,tc4
ay,2025nytr,qm,38,b1,1796,1,5.9,tc4
ay,2025nytr,qm,38,b1,1796,2,6.4,tc4
ay,2025nytr,qm,38,b1,1796,3,7.7,tc3
ay,2025nytr,qm,38,b1,1796,4,13.7,tc3
ay,2025nytr,qm,38,b1,1796,5,27.9,tap
ay,2025nytr,qm,38,b1,1796,6,0.3,tap
ay,2025nytr,qm,38,b1,1796,7,18.7,tc3
ay,2025nytr,qm,38,b1,1796,8,1.9,tc2
ay,2025nytr,qm,38,b1,1796,9,2.3,tc4
ay,2025nytr,qm,38,b1,1796,10,6,tc4
ay,2025nytr,qm,38,b1,1796,11,6.6,tc2
Jp,2025nytr,qm,38,b3,4122,0,22.3,tap
Jp,2025nytr,qm,38,b3,4122,1,8.3,tan
Jp,2025nytr,qm,38,b3,4122,2,7.8,tan
Jp,2025nytr,qm,38,b3,4122,3,5.1,tap
Jp,2025nytr,qm,38,b3,4122,4,8.1,tan
Jp,2025nytr,qm,38,b3,4122,5,23.5,tc3
Jp,2025nytr,qm,38,b3,4122,6,10.4,tan
Jp,2025nytr,qm,38,b3,4122,7,46.1,tc2
J,2025nytr,qm,38,r3,424,0,34.6,tc3
J,2025nytr,qm,38,r3,424,1,26.8,tc3
J,2025nytr,qm,38,r3,424,2,10.6,tc3
J,2025nytr,qm,38,r3,424,3,11.1,tc3
J,2025nytr,qm,38,r3,424,4,9.7,tc3
J,2025nytr,qm,38,r3,424,5,13.3,tc1
Ak,2025nytr,qm,38,r1,6463,0,0.7,tc4
Ak,2025nytr,qm,38,r1,6463,1,14.8,tc1
Ak,2025nytr,qm,38,r1,6463,2,13.1,tc4
Ak,2025nytr,qm,38,r1,6463,3,8.5,tc4
Ak,2025nytr,qm,38,r1,6463,4,48.8,tc4
Ak,2025nytr,qm,38,r1,6463,5,15,tc1
Ak,2025nytr,qm,38,r1,6463,6,10.7,tc1
CW,2025nytr,qm,38,r2,5881,0,9.2,tc2
CW,2025nytr,qm,38,r2,5881,1,7.4,tc2
CW,2025nytr,qm,38,r2,5881,2,15.3,tc2
CW,2025nytr,qm,38,r2,5881,3,4.1,tc2
CW,2025nytr,qm,38,r2,5881,4,68.4,tc1
CW,2025nytr,qm,38,r2,5881,5,5.8,tc1
CW,2025nytr,qm,38,r2,5881,6,8.3,tc1
ay ,2025nytr,qm,39,b1,6401,0,3.8,tc3
ay ,2025nytr,qm,39,b1,6401,1,20.8,tc3
ay ,2025nytr,qm,39,b1,6401,2,57,tc4
ay ,2025nytr,qm,39,b1,6401,3,16.7,tc3
Df,2025nytr,qm,39,b2,3360,0,3,tan
