Scouter Name,Event,Match Level,Match #,Robot,Team #,Cycle Number,Cycle Time,Cycle Type
OZ,2025ohcl,qm,72,b3,2399,5,12.1,tc4
OZ,2025ohcl,qm,72,b3,2399,6,9.2,tc3
OZ,2025ohcl,qm,72,b3,2399,7,8,tc4
OZ,2025ohcl,qm,72,b3,2399,8,0.9,tc3
OZ,2025ohcl,qm,72,b3,2399,9,11.3,tc3
OZ,2025ohcl,qm,72,b3,2399,10,6.5,tc3
OZ,2025ohcl,qm,72,b3,2399,11,9.3,tc3
OZ,2025ohcl,qm,72,b3,2399,12,9.7,tc3
OZ,2025ohcl,qm,72,b3,2399,13,3.3,tc2
OZ,2025ohcl,qm,72,b3,2399,14,7.2,tc3
OZ,2025ohcl,qm,72,b3,2399,15,0.5,tc2
OZ,2025ohcl,qm,72,b3,2399,16,5.6,tc2
ML,2025ohcl,qm,73,r1,3193,0,13.6,tc4
ML,2025ohcl,qm,73,r1,3193,1,14.5,tc4
ML,2025ohcl,qm,73,r1,3193,2,14.3,tc4
ML,2025ohcl,qm,73,r1,3193,3,23.6,tc3
ML,2025ohcl,qm,73,r1,3193,4,14.3,tc3
ML,2025ohcl,qm,73,r1,3193,5,11.3,tan
ML,2025ohcl,qm,73,r1,3193,6,13.3,tc3
ML,2025ohcl,qm,73,r1,3193,7,15.4,tc4
ACS,2025ohcl,qm,73,r2,4085,0,42.4,tc4
ACS,2025ohcl,qm,73,r2,4085,1,66.1,tc4
mf,2025ohcl,qm,73,b1,3015,0,0.1,tc4
mf,2025ohcl,qm,73,b1,3015,1,47.9,tan
mf,2025ohcl,qm,73,b1,3015,2,19.2,tan
AR,2025ohcl,qm,73,b2,8243,0,12,tc3
AR,2025ohcl,qm,73,b2,8243,1,10.7,tc3
AR,2025ohcl,qm,73,b2,8243,2,13.7,tc3
AR,2025ohcl,qm,73,b2,8243,3,41.7,tc1
AR,2025ohcl,qm,73,b2,8243,4,32.5,tc3
OZ,2025ohcl,qm,73,b3,9767,0,0.1,tap
OZ,2025ohcl,qm,73,b3,9767,1,27.5,tap
OZ,2025ohcl,qm,73,b3,9767,2,31.7,tap
JS,2025ohcl,qm,73,r3,9622,0,6.1,tc1
JS,2025ohcl,qm,73,r3,9622,1,34.9,tap
JS,2025ohcl,qm,73,r3,9622,2,35.8,tap
JS,2025ohcl,qm,73,r3,9622,3,12.6,tc1
JS,2025ohcl,qm,73,r3,9622,4,17.2,tc1
JS,2025ohcl,qm,73,r3,9622,5,9.4,tc1
ACS,2025ohcl,qm,74,r2,10582,0,6.2,tc2
ML,2025ohcl,qm,74,r1,9643,0,44.1,tc1
ML,2025ohcl,qm,74,r1,9643,1,51.1,tc2
ML,2025ohcl,qm,74,r1,9643,2,13,tc2
ML,2025ohcl,qm,74,r1,9643,3,14.7,tc1
JS,2025ohcl,qm,74,r3,291,0,27.7,tc3
JS,2025ohcl,qm,74,r3,291,1,20.6,tc3
JS,2025ohcl,qm,74,r3,291,2,26.2,tc1
JS,2025ohcl,qm,74,r3,291,3,18.8,tc3
JS,2025ohcl,qm,74,r3,291,4,9.8,tc3
OZ,2025ohcl,qm,74,b3,128,0,,{}
AR,2025ohcl,qm,74,b2,3954,0,37.3,tap
AR,2025ohcl,qm,74,b2,3954,1,13.7,tap
AR,2025ohcl,qm,74,b2,3954,2,48.9,tc3
AR,2025ohcl,qm,74,b2,3954,3,16.8,tc3
mf,2025ohcl,qm,74,b1,3777,0,,{}
OZ,2025ohcl,qm,75,b3,8145,0,0.1,tc4
OZ,2025ohcl,qm,75,b3,8145,1,23.1,tc4
OZ,2025ohcl,qm,75,b3,8145,2,9.9,tc4
OZ,2025ohcl,qm,75,b3,8145,3,22.3,tc1
AR,2025ohcl,qm,75,b2,1405,0,4.7,tc4
AR,2025ohcl,qm,75,b2,1405,1,15.2,tc4
AR,2025ohcl,qm,75,b2,1405,2,17.1,tc4
AR,2025ohcl,qm,75,b2,1405,3,40,tc3
AR,2025ohcl,qm,75,b2,1405,4,11,tc3
AR,2025ohcl,qm,75,b2,1405,5,11.7,tc1
AR,2025ohcl,qm,75,b2,1405,6,9.4,tc3
mf,2025ohcl,qm,75,b1,2603,0,0.1,tc4
mf,2025ohcl,qm,75,b1,2603,1,7.6,tc3
mf,2025ohcl,qm,75,b1,2603,2,1.8,tc4
mf,2025ohcl,qm,75,b1,2603,3,7.8,tc4
