Scouter Name,Event,Match Level,Match #,Robot,Team #,Cycle Time,Cycle Type
bo,2025nyro,qm,30,r2,1511,11.9,tc4
bo,2025nyro,qm,30,r2,1511,22.8,tc4
bo,2025nyro,qm,30,r2,1511,14.3,tc4
df,2025nyro,qm,30,r1,3951,5.3,tap
df,2025nyro,qm,30,r1,3951,56.4,tap
JS,2025nyro,qm,30,b2,2228,10.7,tc3
JS,2025nyro,qm,30,b2,2228,15.1,tc3
JS,2025nyro,qm,30,b2,2228,4.7,tap
JS,2025nyro,qm,30,b2,2228,26.8,tan
JS,2025nyro,qm,30,b2,2228,26,tc4
JS,2025nyro,qm,30,b2,2228,20.8,tc4
JS,2025nyro,qm,30,b2,2228,13.5,tc4
AC,2025nyro,qm,30,b1,2340,8.9,tc2
AC,2025nyro,qm,30,b1,2340,25.7,tc2
ZS,2025nyro,qm,30,r3,3004,32.2,tc1
ZS,2025nyro,qm,30,r3,3004,12.3,tc1
bo,2025nyro,qm,31,r2,5590,16.8,tc4
bo,2025nyro,qm,31,r2,5590,36.3,tc3
bo,2025nyro,qm,31,r2,5590,38.7,tc4
bo,2025nyro,qm,31,r2,5590,25.3,tc4
cc,2025nyro,qm,31,b3,1787,27.7,tc4
cc,2025nyro,qm,31,b3,1787,37.4,tc4
cc,2025nyro,qm,31,b3,1787,11.9,tc3
cc,2025nyro,qm,31,b3,1787,9.2,tc3
cc,2025nyro,qm,31,b3,1787,6.6,tc1
RV,2025nyro,qm,31,b2,533,14.5,tc4
RV,2025nyro,qm,31,b2,533,58.3,tc4
ZS,2025nyro,qm,31,r3,1518,39.5,tan
ZS,2025nyro,qm,31,r3,1518,17.9,tan
ZS,2025nyro,qm,31,r3,1518,24.5,tan
ZS,2025nyro,qm,31,r3,1518,31.7,tap
ER,2025nyro,qm,31,b1,6911,0.1,tc4
ER,2025nyro,qm,31,b1,6911,6.3,tc4
ER,2025nyro,qm,31,b1,6911,9.1,tc4
ER,2025nyro,qm,31,b1,6911,23.7,tc4
ER,2025nyro,qm,31,b1,6911,9.2,tc4
ER,2025nyro,qm,31,b1,6911,10.8,tc4
ER,2025nyro,qm,31,b1,6911,21.7,tc4
ER,2025nyro,qm,31,b1,6911,10.6,tc3
df,2025nyro,qm,31,r1,3015,9.9,tc4
df,2025nyro,qm,31,r1,3015,4.2,tc4
df,2025nyro,qm,31,r1,3015,5.8,tc4
df,2025nyro,qm,31,r1,3015,5.5,tc4
df,2025nyro,qm,31,r1,3015,8.6,tc3
df,2025nyro,qm,31,r1,3015,7.4,tc3
df,2025nyro,qm,31,r1,3015,7,tc3
df,2025nyro,qm,31,r1,3015,5.6,tc3
df,2025nyro,qm,31,r1,3015,16.5,tc3
df,2025nyro,qm,31,r1,3015,9.1,tc3
df,2025nyro,qm,31,r1,3015,9,tc2
df,2025nyro,qm,31,r1,3015,7.4,tc2
df,2025nyro,qm,31,r1,3015,4.3,tc3
cc,2025nyro,qm,32,b3,2252,14.4,tc4
cc,2025nyro,qm,32,b3,2252,57.3,tc4
cc,2025nyro,qm,32,b3,2252,38.6,tc4
cc,2025nyro,qm,32,b3,2252,22.4,tc4
bo,2025nyro,qm,32,r2,250,,{}
RV,2025nyro,qm,32,b2,8243,5.5,tc1
RV,2025nyro,qm,32,b2,8243,6.3,tc1
RV,2025nyro,qm,32,b2,8243,6.5,tc1
RV,2025nyro,qm,32,b2,8243,8.6,tc1
RV,2025nyro,qm,32,b2,8243,9.4,tc1
RV,2025nyro,qm,32,b2,8243,6,tc1
RV,2025nyro,qm,32,b2,8243,6.4,tc1
RV,2025nyro,qm,32,b2,8243,6.3,tc1
df,2025nyro,qm,32,r1,20,2.4,tc4
df,2025nyro,qm,32,r1,20,20.9,tc4
df,2025nyro,qm,32,r1,20,6.8,tc4
df,2025nyro,qm,32,r1,20,10.9,tc4
df,2025nyro,qm,32,r1,20,9.8,tc4
df,2025nyro,qm,32,r1,20,43.9,tc4
df,2025nyro,qm,32,r1,20,1.2,tc4
df,2025nyro,qm,32,r1,20,11.4,tc4
ZS,2025nyro,qm,32,r3,1585,93.1,tc2
ZS,2025nyro,qm,32,r3,1585,31.4,tc1
ER,2025nyro,qm,32,b1,3171,,{}
RV,2025nyro,qm,33,b2,5881,16.1,tc2
RV,2025nyro,qm,33,b2,5881,61.2,tc2
bo,2025nyro,qm,33,r2,6868,8.5,tc4
bo,2025nyro,qm,33,r2,6868,16.3,tc4
bo,2025nyro,qm,33,r2,6868,16.5,tc4
bo,2025nyro,qm,33,r2,6868,16.1,tc4
bo,2025nyro,qm,33,r2,6868,15.9,tc4
bo,2025nyro,qm,33,r2,6868,9.7,tc4
bo,2025nyro,qm,33,r2,6868,19.5,tc3
bo,2025nyro,qm,33,r2,6868,33.9,tc4
cc,2025nyro,qm,33,b3,340,8.4,tc4
cc,2025nyro,qm,33,b3,340,17,tc3
cc,2025nyro,qm,33,b3,340,13.8,tc3
cc,2025nyro,qm,33,b3,340,14.8,tc3
cc,2025nyro,qm,33,b3,340,10,tc3
cc,2025nyro,qm,33,b3,340,8.1,tc3
cc,2025nyro,qm,33,b3,340,6.7,tc3
cc,2025nyro,qm,33,b3,340,13.6,tc4
cc,2025nyro,qm,33,b3,340,4.3,tc4
cc,2025nyro,qm,33,b3,340,8.7,tc4
df,2025nyro,qm,33,r1,4930,18.4,tc2
df,2025nyro,qm,33,r1,4930,7,tc3
df,2025nyro,qm,33,r1,4930,29.8,tc2
df,2025nyro,qm,33,r1,4930,38.1,tc2
df,2025nyro,qm,33,r1,4930,13.3,tc2
ER,2025nyro,qm,33,b1,9622,,{}
ZS,2025nyro,qm,33,r3,378,27.6,tc3
ZS,2025nyro,qm,33,r3,378,9.5,tap
ZS,2025nyro,qm,33,r3,378,20.3,tc3
ZS,2025nyro,qm,33,r3,378,11.2,tc3
ZS,2025nyro,qm,33,r3,378,13.8,tc2
ZS,2025nyro,qm,33,r3,378,16.8,tc3
bo,2025nyro,qm,34,r2,8140,52.2,tc1
bo,2025nyro,qm,34,r2,8140,47.5,tc1
bo,2025nyro,qm,34,r2,8140,0.4,tc2
RV,2025nyro,qm,34,b2,3003,13.8,tc4
RV,2025nyro,qm,34,b2,3003,14.3,tc4
RV,2025nyro,qm,34,b2,3003,16.8,tc1
RV,2025nyro,qm,34,b2,3003,11.1,tc4
