Scouter Name,Event,Match Level,Match #,Robot,Team #,Auto Coral Level 4,Auto Coral Level 3,Auto Coral Level 2,Auto Coral Level 1,Auto Algae Processor,Auto Algae Net,Leave,Cycle Timer,Cycle Type,Teleop Coral Level 4,Teleop Coral Level 3,Teleop Coral Level 2,Teleop Coral Level 1,Teleop Algae Processor,Teleop Algae Net,Teleop Algae Removed From Reef,Pickup From Floor,Pickup From Coral Station,Endgame State,Played Defense,Was Defended,Died,Tippy,Yellow Card,Red Card,Egregiously Bad Event,Comment
bo,2025nyro,qm,12,r2,533,0,0,0,0,0,0,0,21.2,tc4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"bad intake, never worked even after 5 trys"
AC,2025nyro,qm,12,b1,2614,0,0,0,0,0,0,1,"20.1,10.8,13,12.6,9.9,12,19.4","tap,tap,tc4,tc3,tc3,tc4,tc4",3,2,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0,picked up algae from the ground and reef
cc,2025nyro,qm,12,b3,3044,2,0,0,0,0,0,0,"0.5,54,14.3,24.9,18.1","tc4,tc3,tc3,tc4,tc4",3,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
df,2025nyro,qm,12,r1,9643,0,0,0,0,0,0,1,"33.7,40.3,0.6","tc1,tc1,tc1",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,kit bot
ZS,2025nyro,qm,12,r3,3951,0,1,0,0,0,0,1,"26.8,8.4","tap,tap",0,0,0,0,2,0,5,0,0,1,0,0,0,0,0,0,0
np,2025nyro,qm,13,r3,1585,0,0,0,0,0,0,1,64,tc1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
ER,2025nyro,qm,13,b1,424,0,0,0,1,0,0,1,"0.1,8.6,15.5,10.6,15.7,16.5,7.8","tc1,tc4,tc3,tc4,tc1,tc3,tc4",3,2,0,2,0,0,1,0,1,3,0,0,0,1,0,0,0
RV,2025nyro,qm,13,b2,20,0,0,0,0,0,0,1,"28,17,11.6,30.5,21","tc4,tc4,tc4,tc4,tc4",5,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
bo,2025nyro,qm,13,r2,3015,3,0,0,0,0,0,1,"4.6,7.2,5.2,13.4,12.6,21,0.5,24.5,6.6,10.5,8.7","tc4,tc4,tc4,tc4,tc4,tc4,tc4,tc4,tc4,tc3,tc3",9,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,almost  deep climb. they are very good
df,2025nyro,qm,13,r1,2340,0,0,0,0,0,0,1,"49.6,33.1","tc2,tc2",0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
