Scouter Name,Event,Match Level,Match #,Robot,Team #,Auto Start Location,Auto Amp Scores,Auto Scoring Locations,Auto Pickup Locations,Cycle Timer,Teleop Scoring Locations,Teleop Missing Locations,Teleop Amp Scores,Pickup From Floor,Pickup From Source,Played Defense,Died,Tippy,Dropped Notes,Yellow Card,Egregiously Bad Event,Comment,,,,,,,,,,,,,,,,,,,,,,
JL,2024nyro,qm,19,b1,1308,49,0,,,"60,10.7","a,a",,2,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
lg,2024nyro,qm,19,r3,229,12,0,,,,,,0,0,0,1,0,0,0,0,0,played defence,,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,20,b2,1450,25,0,,,,,,0,0,0,0,1,0,0,0,0,"didnt move for half the game, note stuck for ret but can't really move",,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,20,r2,3181,12,0,"47,93",6,"7.6,7.5,10.3,11.1,22,14.9,20.3,14.3,16.3","a,a,a,69,a,a,117,118,118",,5,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
lg,2024nyro,qm,20,r3,271,60,0,,,,,,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
lw,2024nyro,qm,20,r1,340,36,0,117,,"34.1,16.5,5.6,12.2,10.1,18.3,0.5,14.9","116,116,92,116,116,116,116,93",115,0,1,0,0,0,0,0,0,0,",",,,,,,,,,,,,,,,,,,,,,,
JL,2024nyro,qm,20,b1,191,49,0,,"14,11",131.8,75,"175,125,102",0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,20,b3,578,13,0,"98,74,97","4,1,7","91.7,17.2","98,98","98,27,98",0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
mc,2024nyro,qm,21,r1,694,24,0,"164,108","6,9",,,"165,117",0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,21,b1,639,1,0,,,"7.2,26.8,14.3,43.9","a,a,a,a",27,4,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
